Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time
04330016,CUPRO-SILK BOXY FIT POLO SHIRT - Navy blue | ZARA United States,GENERAL,Navy blue,119.0,,"
79",True,6550.0,70.35,,"
79",,True,48.65,21% silk (mulberry) | 96% cotton,Morocco,2026-04-02,93.1,16:27:26
04333019,STRIPED JACQUARD KIMONO SHIRT - Ecru | ZARA United States,GENERAL,Ecru,129.0,, 100,True,7550.0,81.1,, 100,,True,47.9,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-04-02,93.1,16:27:26
04387001,100% CUPRO KIMONO SHIRT - Ecru | ZARA United States,GENERAL,Ecru,119.0,,"
100",True,6550.0,70.35,,"
100",,True,48.65,,Morocco,2026-04-02,93.1,16:27:26
04336021,FLUID FLORAL PRINT SHIRT - Printed | ZARA United States,GENERAL,Printed,119.0,, 100,True,6550.0,70.35,, 100,,True,48.65,,Morocco,2026-04-02,93.1,16:27:26
04337035,100% RAMIE BOXY FIT POLO SHIRT - Printed | ZARA United States,GENERAL,Printed,129.0,,"
100",True,7550.0,81.1,,"
100",,True,47.9,,Morocco,2026-04-02,93.1,16:27:26
04338049,RELAXED FIT EMBROIDERED SHIRT - Ecru | ZARA United States,GENERAL,Ecru,119.0,,"
97",True,6550.0,70.35,,"
97",,True,48.65,97% cotton | 3% polyester | 100% cotton | 97% OCS certified organically grown cotton,Morocco,2026-04-02,93.1,16:27:26
04331012,RAMIE - LYOCELL RELAXED FIT POLO SHIRT - Brown | ZARA United States,GENERAL,Brown,119.0,, 55,True,6550.0,70.35,, 55,,True,48.65,,Morocco,2026-04-02,93.1,16:27:26
04335017,STRIPED VISCOSE-SILK WRAP SHIRT - Sand | ZARA United States,GENERAL,Sand,129.0,, 73,True,7550.0,81.1,, 73,,True,47.9,"Composition: 73% viscose, 27% silk (mulberry) | 27% silk (mulberry)",Morocco,2026-04-02,93.1,16:27:26
04334039,100% LINEN TEXTURED HANDKERCHIEF SHIRT - Dark eggplant | ZARA United States,GENERAL,Dark eggplant,129.0,,"
100",True,7550.0,81.1,, 100,,True,47.9,100% LINEN TEXTURED HANDKERCHIEF SHIRT | Composition: 100% linen | / 100% LINEN TEXTURED HANDKERCHIEF SHIRT | 100% linen,Morocco,2026-04-02,93.1,16:27:26
04187152,GEOMETRIC JACQUARD SHIRT - Navy blue | ZARA United States,GENERAL,Navy blue,59.9,, 72,True,2950.0,31.69,, 72,,True,28.21,"Composition: 72% cotton, 25% polyester, 3% other fibres | 72% cotton | 25% polyester | 72% RCS-certified recycled cotton | 25% RCS-certified recycled polyester",Morocco,2026-04-02,93.1,16:27:26
